日期,天气状况(白天/夜间),最高气温/最低气温,风力风向(白天/夜间),城市
2019年01月01日,晴/晴,-10℃/-19℃,西南风1-2级/西南风1-2级,changchun
2019年01月02日,晴/晴,-8℃/-17℃,西南风1-2级/西南风1-2级,changchun
2019年01月03日,多云/阵雪,-5℃/-13℃,西南风3-4级/西南风3-4级,changchun
2019年01月04日,晴/晴,-7℃/-18℃,西风3-4级/西风3-4级,changchun
2019年01月05日,晴/晴,-10℃/-20℃,西风1-2级/西风1-2级,changchun
2019年01月06日,晴/多云,-8℃/-17℃,西南风1-2级/西南风1-2级,changchun
2019年01月07日,多云/晴,-7℃/-19℃,西风1-2级/西风1-2级,changchun
2019年01月08日,晴/晴,-11℃/-16℃,西北风3-4级/西北风3-4级,changchun
2019年01月09日,晴/晴,-4℃/-11℃,西南风5-6级/西南风5-6级,changchun
2019年01月10日,晴/晴,-2℃/-13℃,西南风3-4级/西南风3-4级,changchun
2019年01月11日,晴/晴,0℃/-11℃,南风1-2级/南风1-2级,changchun
2019年01月12日,多云/多云,2℃/-10℃,西北风1-2级/西北风1-2级,changchun
2019年01月13日,多云/多云,-2℃/-14℃,西北风1-2级/西北风1-2级,changchun
2019年01月14日,多云/阵雪,-3℃/-16℃,西风1-2级/西风1-2级,changchun
2019年01月15日,阵雪/多云,-8℃/-17℃,西北风3-4级/西北风3-4级,changchun
2019年01月16日,晴/晴,-5℃/-18℃,西风4-5级/西风4-5级,changchun
2019年01月17日,晴/晴,-11℃/-18℃,北风1-2级/北风1-2级,changchun
2019年01月18日,晴/晴,-6℃/-16℃,东南风1-2级/东南风1-2级,changchun
2019年01月19日,多云/多云,-5℃/-16℃,西风1-2级/西风1-2级,changchun
2019年01月20日,多云/多云,-6℃/-14℃,西风3-4级/西风3-4级,changchun
2019年01月21日,多云/多云,-3℃/-12℃,西风1-2级/西风1-2级,changchun
2019年01月22日,晴/多云,0℃/-14℃,西风1-2级/西风1-2级,changchun
2019年01月23日,晴/晴,-5℃/-16℃,西北风1-2级/西北风1-2级,changchun
2019年01月24日,晴/多云,-4℃/-15℃,西北风1-2级/西北风1-2级,changchun
2019年01月25日,多云/晴,-7℃/-16℃,北风3-4级/北风3-4级,changchun
