日期,天气状况(白天/夜间),最高气温/最低气温,风力风向(白天/夜间),城市
2019年01月01日,晴/晴,-1℃/-16℃,南风1-2级/南风1-2级,jinzhong
2019年01月02日,晴/晴,1℃/-13℃,东南风1-2级/东南风1-2级,jinzhong
2019年01月03日,阴/阴,1℃/-11℃,西北风1-2级/西北风1-2级,jinzhong
2019年01月04日,阴/阴,-2℃/-11℃,东北风1-2级/东北风1-2级,jinzhong
2019年01月05日,阴/多云,0℃/-9℃,东南风1-2级/东南风1-2级,jinzhong
2019年01月06日,晴/阴,1℃/-11℃,西北风1-2级/西北风1-2级,jinzhong
2019年01月07日,多云/晴,1℃/-9℃,西北风3-4级/西北风3-4级,jinzhong
2019年01月08日,阴/阴,0℃/-11℃,东南风1-2级/东南风1-2级,jinzhong
2019年01月09日,多云/多云,0℃/-11℃,西南风1-2级/西南风1-2级,jinzhong
2019年01月10日,阴/晴,1℃/-14℃,西风1-2级/西风1-2级,jinzhong
2019年01月11日,晴/晴,2℃/-11℃,西南风1-2级/西南风1-2级,jinzhong
2019年01月12日,晴/晴,4℃/-12℃,西北风3-4级/西北风3-4级,jinzhong
2019年01月13日,晴/阴,5℃/-10℃,西南风1-2级/西南风1-2级,jinzhong
2019年01月14日,晴/晴,4℃/-13℃,西北风4-5级/西北风4-5级,jinzhong
2019年01月15日,晴/晴,-4℃/-17℃,西北风1-2级/西北风1-2级,jinzhong
2019年01月16日,晴/晴,0℃/-17℃,西北风1-2级/西北风1-2级,jinzhong
2019年01月17日,晴/晴,1℃/-16℃,西南风1-2级/西南风1-2级,jinzhong
2019年01月18日,多云/多云,2℃/-11℃,东北风1-2级/东北风1-2级,jinzhong
2019年01月19日,阴/晴,2℃/-11℃,东北风1-2级/东北风1-2级,jinzhong
2019年01月20日,晴/晴,3℃/-15℃,西北风4-5级/西北风4-5级,jinzhong
2019年01月21日,晴/晴,4℃/-12℃,西北风1-2级/西北风1-2级,jinzhong
2019年01月22日,晴/晴,5℃/-13℃,西风1-2级/西风1-2级,jinzhong
2019年01月23日,晴/晴,7℃/-10℃,南风1-2级/南风1-2级,jinzhong
2019年01月24日,阴/阴,5℃/-6℃,东北风1-2级/东北风1-2级,jinzhong
2019年01月25日,多云/晴,2℃/-7℃,东北风1-2级/东北风1-2级,jinzhong
2019年01月26日,阴/多云,3℃/-8℃,西南风1-2级/西南风1-2级,jinzhong
2019年01月27日,多云/晴,6℃/-11℃,西风1-2级/西风1-2级,jinzhong
2019年01月28日,阴/晴,3℃/-8℃,西南风1-2级/西南风1-2级,jinzhong
2019年01月29日,阴/阴,6℃/-7℃,西风1-2级/西风1-2级,jinzhong
2019年01月30日,阴/阴,2℃/-5℃,东北风3-4级/东北风3-4级,jinzhong
2019年01月31日,晴/晴,0℃/-11℃,西北风4-5级/西北风4-5级,jinzhong
2019年02月01日,晴/多云,2℃/-8℃,西南风1-2级/西南风1-2级,jinzhong
2019年02月02日,阴/多云,5℃/-6℃,西北风3-4级/西北风3-4级,jinzhong
2019年02月03日,晴/晴,4℃/-7℃,西北风5-6级/西北风5-6级,jinzhong
2019年02月04日,晴/晴,6℃/-9℃,西风4-5级/西风4-5级,jinzhong
2019年02月05日,多云/晴,10℃/-4℃,西风1-2级/西风1-2级,jinzhong
2019年02月06日,晴/多云,8℃/-7℃,西北风4-5级/西北风4-5级,jinzhong
2019年02月07日,阴/小雪,1℃/-9℃,东南风1-2级/东南风1-2级,jinzhong
2019年02月08日,多云/晴,0℃/-9℃,西北风1-2级/西北风1-2级,jinzhong
2019年02月09日,阴/阴,0℃/-11℃,东南风3-4级/东南风3-4级,jinzhong
2019年02月10日,多云/晴,0℃/-10℃,西南风1-2级/西南风1-2级,jinzhong
2019年02月11日,多云/多云,4℃/-9℃,东南风3-4级/东南风3-4级,jinzhong
2019年02月12日,多云/多云,6℃/-10℃,南风1-2级/南风1-2级,jinzhong
2019年02月13日,阴/中雪,-1℃/-7℃,东南风4-5级/东南风4-5级,jinzhong
2019年02月14日,小雪/晴,0℃/-10℃,西风3-4级/西风3-4级,jinzhong
2019年02月15日,晴/晴,2℃/-14℃,西北风4-5级/西北风4-5级,jinzhong
2019年02月16日,晴/晴,2℃/-12℃,东北风1-2级/东北风1-2级,jinzhong
2019年02月17日,阴/阴,2℃/-8℃,东南风1-2级/东南风1-2级,jinzhong
2019年02月18日,小雪/多云,2℃/-7℃,南风1-2级/南风1-2级,jinzhong
2019年02月19日,晴/晴,6℃/-10℃,西北风3-4级/西北风3-4级,jinzhong
2019年02月20日,晴/晴,6℃/-9℃,东风1-2级/东风1-2级,jinzhong
2019年02月21日,阴/阴,7℃/-7℃,东风1-2级/东风1-2级,jinzhong
2019年02月22日,晴/晴,10℃/-5℃,东南风3-4级/东南风3-4级,jinzhong
2019年02月23日,晴/多云,11℃/-4℃,东南风1-2级/东南风1-2级,jinzhong
2019年02月24日,阴/阴,12℃/-3℃,东南风3-4级/东南风3-4级,jinzhong
2019年02月25日,多云/阴,9℃/0℃,东南风1-2级/东南风1-2级,jinzhong
2019年02月26日,阴/多云,7℃/-2℃,东南风1-2级/东南风1-2级,jinzhong
2019年02月27日,阴/晴,9℃/0℃,东风1-2级/东风1-2级,jinzhong
2019年02月28日,多云/多云,9℃/1℃,东南风1-2级/东南风1-2级,jinzhong
2019年03月01日,阴/阴,12℃/-1℃,东南风3-4级/东南风3-4级,jinzhong
2019年03月02日,阴/多云,7℃/-2℃,西南风1-2级/西南风1-2级,jinzhong
2019年03月03日,多云/晴,13℃/0℃,南风1-2级/南风1-2级,jinzhong
2019年03月04日,阴/阴,13℃/0℃,东风1-2级/东风1-2级,jinzhong
2019年03月05日,晴/晴,13℃/-2℃,东北风1-2级/东北风1-2级,jinzhong
2019年03月06日,晴/晴,11℃/-4℃,东北风3-4级/东北风3-4级,jinzhong
2019年03月07日,晴/阴,10℃/-4℃,东南风1-2级/东南风1-2级,jinzhong
2019年03月08日,阴/多云,11℃/-2℃,东南风1-2级/东南风1-2级,jinzhong
2019年03月09日,晴/晴,15℃/-1℃,北风1-2级/北风1-2级,jinzhong
2019年03月10日,多云/晴,13℃/-3℃,西北风4-5级/西北风4-5级,jinzhong
2019年03月11日,晴/晴,13℃/-2℃,西北风4-5级/西北风4-5级,jinzhong
2019年03月12日,晴/晴,12℃/-5℃,西北风4-5级/西北风4-5级,jinzhong
2019年03月13日,晴/晴,12℃/-4℃,西北风3-4级/西北风3-4级,jinzhong
