日期,天气状况(白天/夜间),最高气温/最低气温,风力风向(白天/夜间),城市
2019年01月01日,晴/晴,0℃/-10℃,南风1-2级/南风1-2级,shijiazhuang
2019年01月02日,晴/晴,1℃/-8℃,北风1-2级/北风1-2级,shijiazhuang
2019年01月03日,多云/多云,1℃/-7℃,北风1-2级/北风1-2级,shijiazhuang
2019年01月04日,多云/阴,1℃/-7℃,东北风1-2级/东北风1-2级,shijiazhuang
2019年01月05日,阴/多云,0℃/-8℃,东北风1-2级/东北风1-2级,shijiazhuang
2019年01月06日,多云/多云,0℃/-7℃,南风1-2级/南风1-2级,shijiazhuang
2019年01月07日,多云/多云,1℃/-8℃,南风1-2级/南风1-2级,shijiazhuang
2019年01月08日,多云/多云,2℃/-8℃,北风1-2级/北风1-2级,shijiazhuang
2019年01月09日,多云/多云,3℃/-7℃,南风1-2级/南风1-2级,shijiazhuang
2019年01月10日,多云/多云,5℃/-6℃,南风1-2级/南风1-2级,shijiazhuang
2019年01月11日,多云/多云,5℃/-5℃,南风1-2级/南风1-2级,shijiazhuang
2019年01月12日,晴/晴,5℃/-5℃,北风1-2级/北风1-2级,shijiazhuang
2019年01月13日,晴/多云,5℃/-7℃,南风1-2级/南风1-2级,shijiazhuang
2019年01月14日,多云/晴,5℃/-7℃,南风1-2级/南风1-2级,shijiazhuang
2019年01月15日,晴/晴,1℃/-9℃,北风3-4级/北风3-4级,shijiazhuang
2019年01月16日,晴/晴,3℃/-8℃,西北风1-2级/西北风1-2级,shijiazhuang
2019年01月17日,晴/多云,7℃/-6℃,南风1-2级/南风1-2级,shijiazhuang
2019年01月18日,多云/阴,5℃/-4℃,北风1-2级/北风1-2级,shijiazhuang
2019年01月19日,多云/晴,5℃/-4℃,北风1-2级/北风1-2级,shijiazhuang
2019年01月20日,晴/晴,6℃/-4℃,西风1-2级/西风1-2级,shijiazhuang
2019年01月21日,晴/晴,10℃/-3℃,西风3-4级/西风3-4级,shijiazhuang
2019年01月22日,晴/晴,13℃/-3℃,西风1-2级/西风1-2级,shijiazhuang
2019年01月23日,晴/晴,10℃/-4℃,南风1-2级/南风1-2级,shijiazhuang
