日期,天气状况(白天/夜间),最高气温/最低气温,风力风向(白天/夜间),城市
2019年01月01日,晴/晴,0℃/-16℃,北风1-2级/北风1-2级,taiyuan
2019年01月02日,晴/晴,1℃/-14℃,西南风1-2级/西南风1-2级,taiyuan
2019年01月03日,阴/阴,2℃/-12℃,北风1-2级/北风1-2级,taiyuan
2019年01月04日,阴/阴,0℃/-12℃,北风1-2级/北风1-2级,taiyuan
2019年01月05日,阴/多云,0℃/-12℃,南风1-2级/南风1-2级,taiyuan
2019年01月06日,晴/阴,2℃/-13℃,西南风1-2级/西南风1-2级,taiyuan
2019年01月07日,多云/晴,3℃/-11℃,西北风3-4级/西北风3-4级,taiyuan
2019年01月08日,阴/阴,1℃/-12℃,东南风1-2级/东南风1-2级,taiyuan
2019年01月09日,阴/多云,0℃/-11℃,西南风1-2级/西南风1-2级,taiyuan
2019年01月10日,阴/晴,1℃/-13℃,西北风1-2级/西北风1-2级,taiyuan
2019年01月11日,晴/晴,3℃/-12℃,西北风1-2级/西北风1-2级,taiyuan
2019年01月12日,晴/晴,4℃/-12℃,西北风3-4级/西北风3-4级,taiyuan
2019年01月13日,晴/阴,4℃/-12℃,西南风1-2级/西南风1-2级,taiyuan
2019年01月14日,晴/晴,5℃/-12℃,西北风4-5级/西北风4-5级,taiyuan
2019年01月15日,晴/晴,-3℃/-17℃,西北风1-2级/西北风1-2级,taiyuan
2019年01月16日,晴/晴,0℃/-16℃,西北风1-2级/西北风1-2级,taiyuan
2019年01月17日,晴/晴,2℃/-16℃,西南风1-2级/西南风1-2级,taiyuan
2019年01月18日,多云/多云,3℃/-13℃,北风1-2级/北风1-2级,taiyuan
2019年01月19日,阴/晴,2℃/-7℃,西北风4-5级/西北风4-5级,taiyuan
2019年01月20日,晴/晴,2℃/-16℃,西北风4-5级/西北风4-5级,taiyuan
2019年01月21日,晴/晴,4℃/-15℃,西北风1-2级/西北风1-2级,taiyuan
2019年01月22日,晴/晴,5℃/-13℃,西北风1-2级/西北风1-2级,taiyuan
2019年01月23日,晴/晴,8℃/-13℃,南风1-2级/南风1-2级,taiyuan
2019年01月24日,阴/阴,5℃/-11℃,东北风1-2级/东北风1-2级,taiyuan
2019年01月25日,多云/多云,3℃/-13℃,东北风1-2级/东北风1-2级,taiyuan
2019年01月26日,阴/多云,4℃/-12℃,西南风1-2级/西南风1-2级,taiyuan
2019年01月27日,阴/晴,7℃/-11℃,西北风3-4级/西北风3-4级,taiyuan
2019年01月28日,阴/晴,4℃/-8℃,西南风1-2级/西南风1-2级,taiyuan
2019年01月29日,阴/阴,6℃/-9℃,西风1-2级/西风1-2级,taiyuan
2019年01月30日,阴/阴,2℃/-6℃,东北风3-4级/东北风3-4级,taiyuan
2019年01月31日,晴/晴,0℃/-12℃,西北风4-5级/西北风4-5级,taiyuan
2019年02月01日,晴/阴,4℃/-10℃,西南风1-2级/西南风1-2级,taiyuan
2019年02月02日,阴/多云,8℃/-9℃,西北风1-2级/西北风1-2级,taiyuan
2019年02月03日,晴/晴,6℃/-11℃,西北风5-6级/西北风5-6级,taiyuan
2019年02月04日,晴/晴,7℃/-11℃,西风4-5级/西风4-5级,taiyuan
2019年02月05日,多云/晴,11℃/-7℃,西南风1-2级/西南风1-2级,taiyuan
2019年02月06日,晴/多云,11℃/-11℃,西北风4-5级/西北风4-5级,taiyuan
2019年02月07日,阴/小雪,0℃/-7℃,南风1-2级/南风1-2级,taiyuan
2019年02月08日,多云/晴,1℃/-10℃,西北风1-2级/西北风1-2级,taiyuan
2019年02月09日,阴/阴,0℃/-8℃,东南风1-2级/东南风1-2级,taiyuan
2019年02月10日,多云/晴,0℃/-10℃,西风1-2级/西风1-2级,taiyuan
2019年02月11日,晴/多云,4℃/-11℃,东南风1-2级/东南风1-2级,taiyuan
2019年02月12日,晴/晴,5℃/-9℃,西南风1-2级/西南风1-2级,taiyuan
2019年02月13日,阴/小雪,3℃/-5℃,东南风1-2级/东南风1-2级,taiyuan
2019年02月14日,小雪/晴,0℃/-7℃,西南风3-4级/西南风3-4级,taiyuan
2019年02月15日,晴/晴,2℃/-12℃,西北风4-5级/西北风4-5级,taiyuan
2019年02月16日,晴/晴,2℃/-10℃,东北风1-2级/东北风1-2级,taiyuan
2019年02月17日,阴/阴,2℃/-5℃,东北风1-2级/东北风1-2级,taiyuan
2019年02月18日,小雪/多云,0℃/-7℃,南风1-2级/南风1-2级,taiyuan
2019年02月19日,晴/多云,6℃/-7℃,西北风3-4级/西北风3-4级,taiyuan
2019年02月20日,晴/晴,8℃/-8℃,南风1-2级/南风1-2级,taiyuan
2019年02月21日,阴/阴,10℃/-8℃,东北风1-2级/东北风1-2级,taiyuan
2019年02月22日,晴/晴,10℃/-5℃,东北风1-2级/东北风1-2级,taiyuan
2019年02月23日,晴/多云,13℃/-7℃,东南风1-2级/东南风1-2级,taiyuan
2019年02月24日,阴/阴,13℃/-4℃,东南风1-2级/东南风1-2级,taiyuan
2019年02月25日,多云/阴,9℃/-2℃,东南风1-2级/东南风1-2级,taiyuan
2019年02月26日,阴/阴,9℃/0℃,东南风1-2级/东南风1-2级,taiyuan
2019年02月27日,阴/晴,9℃/-1℃,东北风1-2级/东北风1-2级,taiyuan
2019年02月28日,多云/阴,10℃/-3℃,西南风1-2级/西南风1-2级,taiyuan
2019年03月01日,多云/阴,12℃/-1℃,东南风1-2级/东南风1-2级,taiyuan
2019年03月02日,阴/多云,12℃/-3℃,西南风1-2级/西南风1-2级,taiyuan
2019年03月03日,多云/晴,15℃/0℃,北风1-2级/北风1-2级,taiyuan
2019年03月04日,阴/阴,14℃/0℃,北风1-2级/北风1-2级,taiyuan
2019年03月05日,晴/晴,15℃/-3℃,北风3-4级/北风3-4级,taiyuan
2019年03月06日,晴/晴,11℃/-6℃,东北风3-4级/东北风3-4级,taiyuan
2019年03月07日,晴/阴,12℃/-3℃,南风1-2级/南风1-2级,taiyuan
2019年03月08日,阴/多云,13℃/-3℃,南风1-2级/南风1-2级,taiyuan
2019年03月09日,晴/晴,14℃/-1℃,西北风1-2级/西北风1-2级,taiyuan
2019年03月10日,晴/晴,14℃/-4℃,西北风4-5级/西北风4-5级,taiyuan
2019年03月11日,晴/晴,12℃/-3℃,西北风4-5级/西北风4-5级,taiyuan
2019年03月12日,晴/晴,11℃/-5℃,西北风4-5级/西北风4-5级,taiyuan
2019年03月13日,晴/晴,12℃/-4℃,西北风1-2级/西北风1-2级,taiyuan
2019年03月14日,晴/晴,13℃/-5℃,西北风4-5级/西北风4-5级,taiyuan
2019年03月15日,晴/晴,15℃/-2℃,西北风4-5级/西北风4-5级,taiyuan
2019年03月16日,晴/晴,19℃/-3℃,西北风3-4级/西北风3-4级,taiyuan
2019年03月17日,阴/阴,19℃/1℃,西南风1-2级/西南风1-2级,taiyuan
2019年03月18日,晴/晴,19℃/1℃,西北风1-2级/西北风1-2级,taiyuan
2019年03月19日,小雨/小雨,19℃/0℃,西南风1-2级/西南风1-2级,taiyuan
2019年03月20日,晴/晴,17℃/2℃,西北风5-6级/西北风5-6级,taiyuan
2019年03月21日,晴/晴,10℃/-5℃,西北风4-5级/西北风4-5级,taiyuan
2019年03月22日,晴/晴,11℃/-6℃,西北风4-5级/西北风4-5级,taiyuan
2019年03月23日,晴/晴,12℃/-5℃,西北风1-2级/西北风1-2级,taiyuan
2019年03月24日,阴/晴,15℃/-2℃,西风3-4级/西风3-4级,taiyuan
2019年03月25日,晴/晴,19℃/0℃,西北风1-2级/西北风1-2级,taiyuan
2019年03月26日,多云/多云,22℃/1℃,西风3-4级/西风3-4级,taiyuan
2019年03月27日,阴/阴,22℃/1℃,西北风1-2级/西北风1-2级,taiyuan
2019年03月28日,晴/晴,14℃/0℃,西风1-2级/西风1-2级,taiyuan
2019年03月29日,晴/晴,13℃/-3℃,西北风5-6级/西北风5-6级,taiyuan
2019年03月30日,晴/晴,10℃/-4℃,西北风3-4级/西北风3-4级,taiyuan
2019年03月31日,晴/晴,14℃/-4℃,西北风3-4级/西北风3-4级,taiyuan
2019年04月01日,晴/多云,17℃/-1℃,东南风1-2级/东南风1-2级,taiyuan
2019年04月02日,晴/多云,20℃/0℃,东北风1-2级/东北风1-2级,taiyuan
2019年04月03日,多云/晴,20℃/3℃,西南风1-2级/西南风1-2级,taiyuan
2019年04月04日,多云/晴,24℃/4℃,西北风4-5级/西北风4-5级,taiyuan
2019年04月05日,多云/多云,26℃/6℃,西风3-4级/西风3-4级,taiyuan
2019年04月06日,多云/晴,23℃/4℃,西北风4-5级/西北风4-5级,taiyuan
2019年04月07日,多云/阴,23℃/7℃,西北风4-5级/西北风4-5级,taiyuan
2019年04月08日,小雨/小雨,14℃/3℃,东风3-4级/东风3-4级,taiyuan
2019年04月09日,多云/阴,9℃/1℃,东北风1-2级/东北风1-2级,taiyuan
2019年04月10日,小雨/晴,14℃/2℃,西北风1-2级/西北风1-2级,taiyuan
2019年04月11日,晴/晴,16℃/1℃,东北风3-4级/东北风3-4级,taiyuan
2019年04月12日,阴/晴,15℃/2℃,西南风3-4级/西南风3-4级,taiyuan
2019年04月13日,多云/晴,17℃/1℃,西北风4-5级/西北风4-5级,taiyuan
2019年04月14日,晴/晴,19℃/1℃,西南风1-2级/西南风1-2级,taiyuan
2019年04月15日,小雨/晴,19℃/5℃,西风4-5级/西风4-5级,taiyuan
2019年04月16日,晴/晴,26℃/6℃,西北风1-2级/西北风1-2级,taiyuan
2019年04月17日,晴/晴,29℃/12℃,西南风4-5级/西南风4-5级,taiyuan
2019年04月18日,晴/多云,23℃/9℃,东风5-6级/东风5-6级,taiyuan
2019年04月19日,多云/小雨,18℃/7℃,东南风1-2级/东南风1-2级,taiyuan
2019年04月20日,小雨/多云,13℃/6℃,东北风1-2级/东北风1-2级,taiyuan
2019年04月21日,晴/晴,24℃/7℃,东南风1-2级/东南风1-2级,taiyuan
2019年04月22日,小雨/晴,23℃/12℃,南风1-2级/南风1-2级,taiyuan
2019年04月23日,晴/晴,27℃/11℃,东北风1-2级/东北风1-2级,taiyuan
2019年04月24日,中雨/小雨,25℃/9℃,西北风1-2级/西北风1-2级,taiyuan
2019年04月25日,多云/多云,20℃/6℃,东风3-4级/东风3-4级,taiyuan
2019年04月26日,晴/小雨,18℃/6℃,东北风3-4级/东北风3-4级,taiyuan
2019年04月27日,中雨/阴,8℃/4℃,东北风1-2级/东北风1-2级,taiyuan
2019年04月28日,阴/晴,18℃/5℃,东南风1-2级/东南风1-2级,taiyuan
2019年04月29日,晴/晴,26℃/9℃,西北风4-5级/西北风4-5级,taiyuan
2019年04月30日,晴/晴,19℃/3℃,西北风4-5级/西北风4-5级,taiyuan
2019年05月01日,多云/晴,21℃/3℃,东南风1-2级/东南风1-2级,taiyuan
2019年05月02日,晴/晴,24℃/7℃,东北风3-4级/东北风3-4级,taiyuan
2019年05月03日,阴/多云,25℃/10℃,东南风1-2级/东南风1-2级,taiyuan
2019年05月04日,晴/阴,26℃/12℃,北风1-2级/北风1-2级,taiyuan
2019年05月05日,阴/阴,22℃/7℃,东北风4-5级/东北风4-5级,taiyuan
2019年05月06日,阴/阴,22℃/8℃,东南风1-2级/东南风1-2级,taiyuan
2019年05月07日,阴/阴,22℃/8℃,东南风1-2级/东南风1-2级,taiyuan
2019年05月08日,小雨/多云,20℃/7℃,西北风1-2级/西北风1-2级,taiyuan
2019年05月09日,多云/多云,25℃/10℃,东北风1-2级/东北风1-2级,taiyuan
2019年05月10日,小雨/晴,23℃/8℃,西北风1-2级/西北风1-2级,taiyuan
2019年05月11日,小雨/多云,25℃/9℃,西南风1-2级/西南风1-2级,taiyuan
2019年05月12日,小雨/晴,18℃/3℃,西北风3-4级/西北风3-4级,taiyuan
2019年05月13日,晴/多云,23℃/6℃,西南风4-5级/西南风4-5级,taiyuan
2019年05月14日,阴/晴,26℃/8℃,东南风1-2级/东南风1-2级,taiyuan
2019年05月15日,多云/多云,28℃/9℃,西北风3-4级/西北风3-4级,taiyuan
2019年05月16日,晴/晴,29℃/12℃,东南风1-2级/东南风1-2级,taiyuan
2019年05月17日,晴/晴,30℃/14℃,东南风1-2级/东南风1-2级,taiyuan
2019年05月18日,阴/小雨,27℃/14℃,南风3-4级/南风3-4级,taiyuan
2019年05月19日,晴/晴,21℃/6℃,西北风5-6级/西北风5-6级,taiyuan
2019年05月20日,晴/多云,25℃/6℃,西北风4-5级/西北风4-5级,taiyuan
2019年05月21日,晴/晴,29℃/9℃,西北风1-2级/西北风1-2级,taiyuan
2019年05月22日,晴/晴,32℃/10℃,西北风1-2级/西北风1-2级,taiyuan
2019年05月23日,晴/晴,33℃/10℃,西南风1-2级/西南风1-2级,taiyuan
2019年05月24日,多云/晴,31℃/13℃,南风1-2级/南风1-2级,taiyuan
2019年05月25日,多云/多云,33℃/17℃,东南风1-2级/东南风1-2级,taiyuan
2019年05月26日,晴/阴,29℃/12℃,西北风5-6级/西北风5-6级,taiyuan
2019年05月27日,多云/多云,26℃/10℃,西北风4-5级/西北风4-5级,taiyuan
2019年05月28日,晴/晴,27℃/10℃,东北风1-2级/东北风1-2级,taiyuan
2019年05月29日,多云/阴,29℃/12℃,东南风1-2级/东南风1-2级,taiyuan
2019年05月30日,晴/晴,30℃/12℃,北风4-5级/北风4-5级,taiyuan
2019年05月31日,晴/多云,30℃/13℃,东北风1-2级/东北风1-2级,taiyuan
2019年06月01日,多云/晴,31℃/15℃,西北风3-4级/西北风3-4级,taiyuan
2019年06月02日,晴/晴,35℃/14℃,西北风3-4级/西北风3-4级,taiyuan
